Credential Code,Credential Name
SC6,EMINENCE SERVICES CREDENTIAL
SC7,EXCHANGE CERTIFICATED EMPLOYEE SERVICES CREDENTIAL
SC8,Speech Language Pathology Services Credential
SDTA,STANDARD DESIGNATED SUBJECTS TEACHING CREDENTIAL (Subject: Basic Military Drill)
SDTB,STANDARD DESIGNATED SUBJECTS TEACHING CREDENTIAL (Subject: Reserve Officer Training Corps - ROTC)
SDTC,STANDARD DESIGNATED SUBJECTS ADULT EDUCATION TEACHING CREDENTIAL
SDTD,STANDARD DESIGNATED SUBJECTS BUSINESS EDUCATION TEACHING CREDENTIAL
SDTE,STANDARD DESIGNATED SUBJECTS TEACHING CREDENTIAL (Subject: Public Safety Education)
SDTF,STANDARD DESIGNATED SUBJECTS MODERN FOREIGN LANGUAGE TEACHING CREDENTIAL (Obsolete credential: no renewals available; no CAS document issued)
SDTG,STANDARD DESIGNATED SUBJECTS INDUSTRIAL ARTS AND OCCUPATIONAL ED. TEACHING CREDENTIAL
SDTH,STANDARD DESIGNATED SUBJECTS VOCATIONAL TRADE AND TECHNICAL ED. TEACHING CREDENTIAL
SDTI,STANDARD DESIGNATED SUBJECTS TEACHING CREDENTIAL (Subject: Aviation Flight Instruction or Aviation Ground Instruction)
SDTJ,STANDARD DESIGNATED SUBJECTS OUTSTANDING EMINENCE CREDENTIAL
SDTK,"STANDARD DESIGNATED SUBJECTS EMINENCE TEACHING CREDENTIAL (Both credentials are obsolete--if renewed, they became Ryan TC5 Credentials )"
SDTL,STANDARD DESIGNATED SUBJECTS VOCATIONAL AGRICULTURE TEACHING CREDENTIAL
SDTM,STANDARD DESIGNATED SUBJECTS TEACHING CREDENTIAL (Subject: African-American Studies)
SDTN,STANDARD DESIGNATED SUBJECTS INDUSTRIAL ARTS AND VOCATIONAL TEACHING CREDENTIAL
SSCA,STANDARD PUPIL PERSONNEL SERVICES CREDENTIAL
SSCB,STANDARD HEALTH SERVICES CREDENTIAL
SSCC,STANDARD SUPERVISION CREDENTIAL
SSCD,STANDARD ADMINISTRATION CREDENTIAL
ST1,SPECIAL SECONDARY TEACHING CREDENTIAL IN ART
ST10,SPECIAL SECONDARY TEACHING CREDENTIAL IN INDUSTRIAL ARTS
ST11,SPECIAL SECONDARY LIMITED TEACHING CREDENTIAL IN INDUSTRIAL ARTS
ST12,SPECIAL SECONDARY LIMITED TEACHING CREDENTIAL IN INDUSTRIAL ARTS (PART-TIME)
ST13,SPECIAL SECONDARY CREDENTIAL FOR TEACHING LIP READING
ST14,SPECIAL SECONDARY TEACHING CREDENTIAL IN MUSIC
ST15,SPECIAL SECONDARY LIMITED TEACHING CREDENTIAL IN MUSIC
ST16,SPECIAL SECONDARY TEACHING CREDENTIAL IN NURSING EDUCATION
ST17,SPECIAL SECONDARY CREDENTIAL FOR TEACHING THE PARTIALLY SIGHTED CHILD
ST18,SPECIAL SECONDARY TEACHING CREDENTIAL IN PHYSICAL EDUCATION
ST19,SPECIAL SECONDARY TEACHING CREDENTIAL IN PUBLIC SAFETY EDUCATION
ST2,SPECIAL SECONDARY TEACHING CREDENTIAL IN AVIATION
ST20,SPECIAL SECONDARY TEACHING CREDENTIAL IN SCIENCES BASIC TO MEDICINE
ST21,SPECIAL SECONDARY TEACHING CREDENTIAL IN SPEECH ARTS
ST22,SPECIAL SECONDARY TEACHING CREDENTIAL IN CORRECTION OF SPEECH DEFECTS
ST23,SPECIAL SECONDARY VOCATIONAL CLASS A TEACHING CREDENTIAL
ST24,SPECIAL SECONDARY VOCATIONAL CLASS B TEACHING CREDENTIAL
ST25,SPECIAL SECONDARY VOCATIONAL CLASS C1 TEACHING CREDENTIAL
ST26,SPECIAL SECONDARY VOCATIONAL CLASS C2 TEACHING CREDENTIAL
ST27,SPECIAL SECONDARY TEACHING CREDENTIAL IN MILITARY SCIENCE AND TACTICS
ST28,SPECIAL ADULT EDUCATION TEACHING CREDENTIAL IN DESIGNATED SUBJECTS
ST29,SPECIAL ADULT EDUCATION TEACHING CREDENTIAL IN LIP READING
ST3,SPECIAL SECONDARY TEACHING CREDENTIAL IN VOCATIONAL AGRICULTURE
ST30,SPECIAL ADULT EDUCATION TEACHING CREDENTIAL FOR SHORT UNIT COURSES
ST31,SPECIAL SECONDARY VOCATIONAL CLASS D TEACHING CREDENTIAL
ST32,SPECIAL SECONDARY LIMITED VOCATIONAL TEACHING CREDENTIAL IN BUSINESS SUBJECTS
ST33,SPECIAL SECONDARY CREDENTIAL FOR TEACHING THE MENTALLY RETARDED
ST34,SPECIAL CREDENTIAL FOR TEACHING EXCEPTIONAL CHILDREN
ST35,SPECIAL SECONDARY TEACHING CREDENTIAL
ST4,SPECIAL SECONDARY LIMITED TEACHING CREDENTIAL IN DESIGNATED SUBJECTS
ST5,SPECIAL SECONDARY TEACHING CREDENTIAL IN BUSINESS EDUCATION
ST6,SPECIAL SECONDARY LIMITED TEACHING CREDENTIAL IN VOCATIONAL BUSINESS
ST7,SPECIAL SECONDARY CREDENTIAL FOR TEACHING THE BLIND
ST8,SPECIAL SECONDARY CREDENTIAL FOR TEACHING THE DEAF
ST9,SPECIAL SECONDARY TEACHING CREDENTIAL IN HOMEMAKING
STCA,STANDARD ELEMENTARY TEACHING CREDENTIAL
STCB,STANDARD SECONDARY TEACHING CREDENTIAL
STCC,STANDARD EARLY CHILDHOOD EDUCATION TEACHING CREDENTIAL
