Course Code,Course Title,Broad Subject,Setting,Credentials Authorizing Course,Notes
8140,Introduction to Games and Simulation,Information and Communication Technology,Career Technical Education,Full Authorization:CTE: Information and Communication TechnologiesSingle Subject*: Business; Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8141,Intermediate Games and Simulation (Concentrator),Information and Communication Technology,Career Technical Education,Full Authorization:CTE: Information and Communication TechnologiesSingle Subject*: Business; Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8142,Advanced Games and Simulation (Capstone),Information and Communication Technology,Career Technical Education,Full Authorization:CTE: Information and Communication TechnologiesSingle Subject*: Business; Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8200,Introduction to Manufacturing and Product Development,Manufacturing and Product Development,Career Technical Education,Full Authorization:CTE: Manufacturing and Product DevelopmentSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8210,Intermediate Graphic Production Technologies (Concentrator),Manufacturing and Product Development,Career Technical Education,Full Authorization:CTE: Manufacturing and Product DevelopmentSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8211,Advanced Graphic Production Technologies (Capstone),Manufacturing and Product Development,Career Technical Education,Full Authorization:CTE: Manufacturing and Product DevelopmentSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8220,Intermediate Machining and Forming Technologies (Concentrator),Manufacturing and Product Development,Career Technical Education,Full Authorization:CTE: Manufacturing and Product DevelopmentSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8221,Advanced Machining and Forming Technologies (Capstone),Manufacturing and Product Development,Career Technical Education,Full Authorization:CTE: Manufacturing and Product DevelopmentSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8230,Intermediate Welding and Materials Joining (Concentrator),Manufacturing and Product Development,Career Technical Education,Full Authorization:CTE: Manufacturing and Product DevelopmentSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8231,Advanced Welding and Materials Joining (Capstone),Manufacturing and Product Development,Career Technical Education,Full Authorization:CTE: Manufacturing and Product DevelopmentSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8240,Intermediate Product Innovation and Design (Concentrator),Manufacturing and Product Development,Career Technical Education,Full Authorization:CTE: Manufacturing and Product DevelopmentSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8241,Advanced Product Innovation and Design (Capstone),Manufacturing and Product Development,Career Technical Education,Full Authorization:CTE: Manufacturing and Product DevelopmentSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8300,"Introduction to Marketing, Sales, and Service","Marketing, Sales, and Service",Career Technical Education,"Full Authorization:CTE: Marketing, Sales, and ServiceSingle Subject*: Business",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8310,Intermediate Marketing (Concentrator),"Marketing, Sales, and Service",Career Technical Education,"Full Authorization:CTE: Marketing, Sales, and ServiceSingle Subject*: Business",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8311,Advanced Marketing (Capstone),"Marketing, Sales, and Service",Career Technical Education,"Full Authorization:CTE: Marketing, Sales, and ServiceSingle Subject*: Business",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8320,Intermediate Professional Sales (Concentrator),"Marketing, Sales, and Service",Career Technical Education,"Full Authorization:CTE: Marketing, Sales, and ServiceSingle Subject*: Business",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8321,Advanced Professional Sales (Capstone),"Marketing, Sales, and Service",Career Technical Education,"Full Authorization:CTE: Marketing, Sales, and ServiceSingle Subject*: Business",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8330,Entrepreneurship/ Self-Employment  (Concentrator),"Marketing, Sales, and Service",Career Technical Education,"Full Authorization:CTE: Marketing, Sales, and ServiceSingle Subject*: Business",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8331,Advanced Entrepreneurship/ Self-Employment (Capstone),"Marketing, Sales, and Service",Career Technical Education,"Full Authorization:CTE: Marketing, Sales, and ServiceSingle Subject*: Business",*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8400,Introduction to Public Services,Public Service,Career Technical Education,Full Authorization:CTE: Public Service,
8410,Introduction to Public Safety (Introduction),Public Service,Career Technical Education,Full Authorization:CTE: Public Service,
8411,Intermediate Public Safety (Concentration),Public Service,Career Technical Education,Full Authorization:CTE: Public Service,
8412,Advanced Public Safety (Capstone),Public Service,Career Technical Education,Full Authorization:CTE: Public Service,
8420,Introduction to Emergency Response (Introduction),Public Service,Career Technical Education,Full Authorization:CTE: Public Service,
8421,Intermediate Emergency Response (Concentration),Public Service,Career Technical Education,Full Authorization:CTE: Public Service,
8422,Advanced Emergency Response (Capstone),Public Service,Career Technical Education,Full Authorization:CTE: Public Service,
8430,Introduction to Legal Practices (Introduction),Public Service,Career Technical Education,Full Authorization:CTE: Public Service,
8431,Intermediate Legal Practices (Concentration),Public Service,Career Technical Education,Full Authorization:CTE: Public Service,
8432,Advanced Legal Practices (Capstone),Public Service,Career Technical Education,Full Authorization:CTE: Public Service,
8500,Introduction to Transportation,Transportation,Career Technical Education,Full Authorization:CTE: TransportationSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8510,Introduction to Operations,Transportation,Career Technical Education,Full Authorization:CTE: TransportationSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8511,Intermediate Operations (Concentrator),Transportation,Career Technical Education,Full Authorization:CTE: TransportationSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8512,Advanced Operations (Capstone),Transportation,Career Technical Education,Full Authorization:CTE: TransportationSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8520,Introduction to Structural Repair and Refinishing,Transportation,Career Technical Education,Full Authorization:CTE: TransportationSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8521,Intermediate Structural Repair and Refinishing (Concentrator),Transportation,Career Technical Education,Full Authorization:CTE: TransportationSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8522,Advanced Structural Repair and Refinishing  (Capstone),Transportation,Career Technical Education,Full Authorization:CTE: TransportationSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8530,"Introduction to Systems Diagnostics, Service, and Repair",Transportation,Career Technical Education,Full Authorization:CTE: TransportationSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8531,"Intermediate Systems Diagnostics, Service, and Repair (Concentrator)",Transportation,Career Technical Education,Full Authorization:CTE: TransportationSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
8532,"Advanced Systems Diagnostics, Service, and Repair  (Capstone)",Transportation,Career Technical Education,Full Authorization:CTE: TransportationSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
9000-01,Visual Art - Advertising Design/ Commercial Art,Art,General Education,Full Authorization:Single Subject: ArtSpecific Supplementary Auth: Graphic ArtsLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-02,Visual Art - Ceramics,Art,General Education,Full Authorization:Single Subject: ArtSpecific Supplementary Auth: Crafts Including Jewelry and Ceramics (Art)Limited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-03,Visual Art - Crafts,Art,General Education,Full Authorization:Single Subject: ArtSpecific Supplementary Auth: Crafts Including Jewelry and Ceramics (Art)Limited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-04,Visual Art - Design,Art,General Education,Full Authorization:Single Subject: ArtSpecific Supplementary Auth: Graphic ArtsLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-05,Visual Art - Digital Art,Art,General Education,Full Authorization:Single Subject: ArtSpecific Supplementary Auth: Graphic ArtsLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-06,Visual Art - Drawing,Art,General Education,Full Authorization:Single Subject: ArtSpecific Supplementary Auth: Painting and DrawingSpecific Subject Matter Auth: Two- Dimensional ArtLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-07,Visual Art - Fashion Design,Art,General Education,Full Authorization:Single Subject: Art; Home EconomicsSpecific Supplementary Auth: Clothing and Textiles (Home Economics)Limited Authorization:Supplementary Auth: Art; Home EconomicsIntro Supplementary Auth: Introductory Art; Introductory Home EconomicsIntro Subject Matter Auth: Introductory Art,
9000-08,Visual Art - Fiber and Textile Design,Art,General Education,Full Authorization:Single Subject: Art; Home EconomicsSpecific Supplementary Auth: Clothing and Textiles (Home Economics)Limited Authorization:Supplementary Auth: Art; Home EconomicsIntro Supplementary Auth: Introductory Art; Introductory Home EconomicsIntro Subject Matter Auth: Introductory Art,
9000-09,Visual Art - Folk Art,Art,General Education,Full Authorization:Single Subject: ArtLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-10,Visual Art - Jewelry,Art,General Education,Full Authorization:Single Subject: ArtSpecific Supplementary Auth: Crafts Including Jewelry and Ceramics (Art)Limited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-11,Visual Art - Lettering/ Calligraphy,Art,General Education,Full Authorization:Single Subject: ArtLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-12,Visual Art - Moving Image,Art,General Education,Full Authorization:Single Subject: Industrial and Technology EducationLimited Authorization:Supplementary Auth: Industrial ArtsIntro Supplementary Auth: Introductory Industrial Arts,
9000-13,Visual Art - Painting,Art,General Education,Full Authorization:Single Subject: ArtSpecific Supplementary Auth: Painting and DrawingSpecific Subject Matter Auth: Two- Dimensional ArtLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-14,Visual Art - Photography,Art,General Education,Full Authorization:Single Subject: Art; Industrial and Technology EducationSpecific Supplementary Auth: PhotographySpecific Subject Matter Auth: Photography; Two- Dimensional ArtLimited Authorization:Supplementary Auth: Art; Industrial ArtsIntro Supplementary Auth: Introductory Art; Introductory Industrial ArtsIntro Subject Matter Auth: Introductory Art,
9000-15,Visual Art - Printmaking,Art,General Education,Full Authorization:Single Subject: ArtSpecific Subject Matter Auth: Two- Dimensional ArtLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-16,Visual Art - Sculpture,Art,General Education,Full Authorization:Single Subject: ArtSpecific Subject Matter Auth: Three- Dimensional ArtLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9000-NA,Visual Art - Multiple or Not Applicable,Art,General Education,Full Authorization:Single Subject: ArtLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9001,Art History,Art,General Education,Full Authorization:Single Subject: ArtSpecific Subject Matter Auth: Art History/ AppreciationLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9002,Advanced Placement (AP) Studio Art:3-D Design,Art,General Education,Full Authorization:Single Subject: ArtSpecific Subject Matter Auth: Three- Dimensional Art,
9003,Advanced Placement (AP)  Studio Art: 2-D Design,Art,General Education,Full Authorization:Single Subject: ArtSpecific Supplementary Auth: Graphic Arts; Painting and DrawingSpecific Subject Matter Auth: Art History/ Appreciation; Two- Dimensional Art,
9004,Advanced Placement (AP)  Studio Art: Drawing,Art,General Education,Full Authorization:Single Subject: ArtSpecific Supplementary Auth: Painting and Drawing,
9005,Advanced Placement (AP)  Art History,Art,General Education,Full Authorization:Single Subject: ArtSpecific Subject Matter Auth: Art History/ Appreciation,
9006,International Baccalaureate Middle Years Programme (IB MYP) Visual Arts,Art,General Education,Full Authorization:Single Subject: ArtLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9007,International Baccalaureate (IB) Visual Arts,Art,General Education,Full Authorization:Single Subject: ArtLimited Authorization:Supplementary Auth: Art,
9020,College Credit Course - Visual Arts,Art,General Education,Full Authorization:Single Subject: ArtLimited Authorization:Supplementary Auth: Art,
9021,Pre-AP Visual Arts,Art,General Education,Full Authorization:Single Subject: ArtLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9022,Art Appreciation K-12,Art,General Education,Full Authorization:Single Subject: ArtSpecific Subject Matter Auth: Art History/ AppreciationLimited Authorization:Supplementary Auth: ArtIntro Supplementary Auth: Introductory ArtIntro Subject Matter Auth: Introductory Art,
9051-01,Business - Accounting,Business,General Education,Full Authorization:Single Subject: BusinessSpecific Supplementary Auth: Accounting including FinanceLimited Authorization:Supplementary Auth: BusinessIntro Supplementary Auth: Introductory Business,
9051-02,Business - Communications,Business,General Education,Full Authorization:Single Subject: BusinessSpecific Supplementary Auth: Office Technologies inc. Word Processing &amp; Business CommunicationLimited Authorization:Supplementary Auth: BusinessIntro Supplementary Auth: Introductory Business,
9051-03,Business - Computer Concepts and Applications,Business,General Education,Full Authorization:Single Subject: Business; Mathematics; Industrial and Technology EducationSpecific Supplementary Auth: Office Technologies inc. Word Processing &amp; Business CommunicationLimited Authorization:Supplementary Auth: Business; Industrial ArtsIntro Supplementary Auth: Introductory Business; Introductory Industrial Arts,
9051-04,Business - Consumer Education,Business,General Education,Full Authorization:Single Subject: BusinessSpecific Supplementary Auth: Economics and Consumer EducationLimited Authorization:Supplementary Auth: BusinessIntro Supplementary Auth: Introductory Business,
9051-05,Business - Data Processing,Business,General Education,Full Authorization:Single Subject: BusinessLimited Authorization:Supplementary Auth: BusinessIntro Supplementary Auth: Introductory Business,
9051-06,Business - Economics,Business,General Education,Full Authorization:Single Subject: Business; Social ScienceSpecific Supplementary Auth: Economics; Economics and Consumer EducationSpecific Subject Matter Auth: Economics (Social Science)Limited Authorization:Supplementary Auth: Business; Social ScienceIntro Supplementary Auth: Introductory Business; Introductory Social ScienceIntro Subject Matter Auth: Introductory Social Science,
9051-07,Business - English,Business,General Education,Full Authorization:Single Subject: Business; EnglishLimited Authorization:Supplementary Auth: Business; EnglishIntro Supplementary Auth: Introductory Business; Introductory EnglishIntro Subject Matter Auth: Introductory English,
9051-08,Business - Entrepreneurship,Business,General Education,Full Authorization:Single Subject: BusinessSpecific Supplementary Auth: Marketing/ EntrepreneurshipLimited Authorization:Supplementary Auth: BusinessIntro Supplementary Auth: Introductory Business,
9051-09,Business - Finance,Business,General Education,Full Authorization:Single Subject: BusinessSpecific Supplementary Auth: Accounting including FinanceLimited Authorization:Supplementary Auth: BusinessIntro Supplementary Auth: Introductory Business,
9051-10,Business - Keyboarding and Word Processing,Business,General Education,Full Authorization:Single Subject: BusinessLimited Authorization:Supplementary Auth: BusinessIntro Supplementary Auth: Introductory Business,
9051-11,Business - Law,Business,General Education,Full Authorization:Single Subject: Business; Social ScienceLimited Authorization:Supplementary Auth: Business; Social ScienceIntro Supplementary Auth: Introductory Business; Introductory Social ScienceIntro Subject Matter Auth: Introductory Social Science,
9051-12,Business - Management,Business,General Education,Full Authorization:Single Subject: BusinessLimited Authorization:Supplementary Auth: BusinessIntro Supplementary Auth: Introductory Business,
9051-13,Business - Marketing,Business,General Education,Full Authorization:Single Subject: BusinessSpecific Supplementary Auth: Marketing/ EntrepreneurshipLimited Authorization:Supplementary Auth: BusinessIntro Supplementary Auth: Introductory Business,
9051-14,Business - Mathematics,Business,General Education,Full Authorization:Single Subject: Business; Mathematics; Foundational Level MathematicsMathematics Instructional Added AuthorizationMathematics Instructional Leadership SpecialistLimited Authorization:Supplementary Auth: Business; MathematicsIntro Supplementary Auth: Introductory Business; Introductory MathematicsIntro Subject Matter Auth: Introductory Mathematics,
9051-15,Business- Office Occupations,Business,General Education,Full Authorization:Single Subject: BusinessSpecific Supplementary Auth: Office Technologies Inc. Word Processing &amp; Business CommunicationLimited Authorization:Supplementary Auth: BusinessIntro Supplementary Auth: Introductory Business,
9052,International Baccalaureate (IB) Business and Management,Business,General Education,Full Authorization:Single Subject: BusinessLimited Authorization:Supplementary Auth: BusinessIntro Supplementary Auth: Introductory Business,
9060,Computer literacy,Computer Science,General Education,Full Authorization:Single Subject: Business; Mathematics; Industrial and Technology EducationSpecific Supplementary Auth: Computer ScienceLimited Authorization:Supplementary Auth: Business; Computer Science; Industrial ArtsIntro Supplementary Auth: Introductory Business; Introductory Computer Science; Introductory Industrial Arts,
9061,Exploring Computer Science,Computer Science,General Education,Full Authorization:Single Subject: Business; Mathematics; Industrial and Technology EducationSpecific Supplementary Auth: Computer ScienceLimited Authorization:Supplementary Auth: Business; Computer Science; Industrial ArtsIntro Supplementary Auth: Introductory Business; Introductory Computer Science; Introductory Industrial Arts,
9062,Computer Science,Computer Science,General Education,Full Authorization:Single Subject: Business; Mathematics; Industrial and Technology EducationSpecific Supplementary Auth: Computer ScienceLimited Authorization:Supplementary Auth: Business; Computer Science; Industrial ArtsIntro Supplementary Auth: Introductory Business; Introductory Computer Science; Introductory Industrial Arts,
9063,Computer programming,Computer Science,General Education,Full Authorization:Single Subject: Mathematics; Industrial and Technology EducationSpecific Supplementary Auth: Computer ScienceLimited Authorization:Supplementary Auth: Computer Science; Industrial ArtsIntro Supplementary Auth: Introductory Computer Science; Introductory Industrial Arts,
9064,Web Design,Computer Science,General Education,Full Authorization:Single Subject: Business; Mathematics; Industrial and Technology EducationSpecific Supplementary Auth: Computer ScienceLimited Authorization:Supplementary Auth: Business; Computer Science; Industrial ArtsIntro Supplementary Auth: Introductory Business; Introductory Computer Science; Introductory Industrial Arts,
9065,International Baccalaureate Middle Years Program (IB MYP):  Design,Computer Science,General Education,Full Authorization:Single Subject: Mathematics; Industrial and Technology Education; ArtSpecific Supplementary Auth: Computer ScienceLimited Authorization:Supplementary Auth: Computer Science; Industrial Arts; ArtIntro Supplementary Auth: Introductory Computer Science; Introductory Industrial Arts; Introductory ArtIntro Subject Matter Auth: Introductory Art,
9066,Advanced Placement (AP) Computer Science Principles,Computer Science,General Education,Full Authorization:Single Subject: Business; Mathematics; Industrial and Technology EducationSpecific Supplementary Auth: Computer ScienceLimited Authorization:Supplementary Auth: Business; Industrial Arts; Computer ScienceIntro Supplementary Auth: Introductory Business; Introductory Industrial Arts; Introductory Computer Science,
9067,Advanced Placement (AP) Computer science A,Computer Science,General Education,Full Authorization:Single Subject: Business; Mathematics; Industrial and Technology EducationSpecific Supplementary Auth: Computer ScienceLimited Authorization:Supplementary Auth: Business; Industrial Arts; Computer ScienceIntro Supplementary Auth: Introductory Business; Introductory Industrial Arts; Introductory Computer Science,
9068,International Baccalaureate (IB) Information technology in a Global Society,Computer Science,General Education,Full Authorization:Single Subject: Business; Mathematics; Industrial and Technology EducationSpecific Supplementary Auth: Computer ScienceLimited Authorization:Supplementary Auth: Business; Industrial Arts; Computer ScienceIntro Supplementary Auth: Introductory Business; Introductory Industrial Arts; Introductory Computer Science,
9069,International Baccalaureate (IB) Computer science,Computer Science,General Education,Full Authorization:Single Subject: Business; Mathematics; Industrial and Technology EducationSpecific Supplementary Auth: Computer ScienceLimited Authorization:Supplementary Auth: Business; Industrial Arts; Computer ScienceIntro Supplementary Auth: Introductory Business; Introductory Industrial Arts; Introductory Computer Science,
9080-01,Dance - Ballet,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9080-02,Dance - Composition and Production,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9080-03,Dance - Folk/ Traditional,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9080-04,Dance - Hip Hop,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9080-05,Dance - Independent or Studio,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9080-06,Dance - Jazz,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9080-07,Dance - Modern,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9080-08,Dance - Tap,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9080-09,Dance - World,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9080-NA,Dance - Multiple or Not Applicable,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9081,International Baccalaureate (IB) Dance,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9082,College Credit Course - Dance,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9083,Pre-AP Dance,Dance,General Education,Full Authorization:Single Subject: DanceSpecific Supplementary Auth: DanceSpecific Subject Matter Auth: DanceLimited Authorization:Supplementary Auth: DanceIntro Supplementary Auth: Introductory DanceIntro Subject Matter Auth: Introductory Dance,"Physical Education authorizations issued prior to 2022 (e.g. PE, PEX, etc) are authorized to teach dance content. See Coded 21-01 for more details."
9090-01,Theatre - Acting,Theatre,General Education,Full Authorization:Single Subject: TheaterSpecific Supplementary Auth: DramaSpecific Subject Matter Auth: Drama/ TheatreLimited Authorization:Supplementary Auth: TheaterIntro Supplementary Auth: Introductory TheaterIntro Subject Matter Auth: Introductory Theater,"English authorizations issued prior to 2022 (e.g. ENGL, ENGX, etc) are authorized to teach theater content. See Coded 21-01 for more details."
9090-02,Theatre - Directing,Theatre,General Education,Full Authorization:Single Subject: TheaterSpecific Supplementary Auth: DramaSpecific Subject Matter Auth: Drama/ TheatreLimited Authorization:Supplementary Auth: TheaterIntro Supplementary Auth: Introductory TheaterIntro Subject Matter Auth: Introductory Theater,"English authorizations issued prior to 2022 (e.g. ENGL, ENGX, etc) are authorized to teach theater content. See Coded 21-01 for more details."
9090-03,Theatre - Improvisation,Theatre,General Education,Full Authorization:Single Subject: TheaterSpecific Supplementary Auth: DramaSpecific Subject Matter Auth: Drama/ TheatreLimited Authorization:Supplementary Auth: TheaterIntro Supplementary Auth: Introductory TheaterIntro Subject Matter Auth: Introductory Theater,"English authorizations issued prior to 2022 (e.g. ENGL, ENGX, etc) are authorized to teach theater content. See Coded 21-01 for more details."
9090-04,Theatre - Musical Theatre,Theatre,General Education,Full Authorization:Single Subject: Music; TheaterSpecific Supplementary Auth: DramaSpecific Subject Matter Auth: Drama/ TheatreLimited Authorization:Supplementary Auth: TheaterIntro Supplementary Auth: Introductory Theater; Introductory MusicIntro Subject Matter Auth: Introductory Theater; Introductory Music,"English authorizations issued prior to 2022 (e.g. ENGL, ENGX, etc) are authorized to teach theater content. See Coded 21-01 for more details."
9090-05,Theatre - Performance and Production,Theatre,General Education,Full Authorization:Single Subject: TheaterSpecific Supplementary Auth: DramaSpecific Subject Matter Auth: Drama/ TheatreLimited Authorization:Supplementary Auth: TheaterIntro Supplementary Auth: Introductory TheaterIntro Subject Matter Auth: Introductory Theater,"English authorizations issued prior to 2022 (e.g. ENGL, ENGX, etc) are authorized to teach theater content. See Coded 21-01 for more details."
